property_type;state;lat;lon;area_m2;price_usd
house;Distrito Federal;19.390.301;-9.911.161;187.0;126447.56
house;Veracruz de Ignacio de la Llave;19.101.803;-96.163.884;127.0;51662.25
apartment;Puebla;19.026.517;-98.214.364;102.0;97598.5
house;Jalisco;23.634.501;-102.552.788;107.0;57955.13
house;Yucat n;21.075.163;-89.516.731;242.0;108534.15
house;Distrito Federal;193.605.334;-992.267.067;245.0;247626.47
apartment;Distrito Federal;19.351.369;-99.248.993;90.0;86300.46
apartment;Distrito Federal;19.412.142;-99.146.127;75.0;44794.13
apartment;Puebla;18.987.232;-98.206.947;93.0;40841.7
house;Estado de M‚xico;19.715.134;-99.214.828;126.0;95309.84
house;Distrito Federal;19.374.069;-9.901.932;300.0;150719.07
house;San Luis Potos¡;22.133.745;-101.016.029;132.0;81683.41
house;Morelos;18.804.197;-98.932.816;130.0;65858.1
apartment;Yucat n;210.294.432;-896.322.061;237.0;192087.77
house;Sinaloa;248.093.254;-1.074.692.179;96.0;60603.82
apartment;Distrito Federal;1.933.923;-99.218.987;102.0;237089.17
house;Baja California;32.493.049;-116.907.481;76.0;41095.45
house;Hidalgo;201.254.846;-987.362.998;229.0;158096.93
house;Morelos;18.960.244;-99.212.962;305.0;227351.46
house;Puebla;23.634.501;-102.552.788;128.0;67438.69
house;Estado de M‚xico;195.380.802.461;-992.384.793.394;240.0;136984.85
house;Quintana Roo;21.129.547;-86.817.017;135.0;93781.94
house;Nuevo Le¢n;255.683.841;-1.002.439.723;320.0;205477.28
apartment;Tamaulipas;22.217.112;-97.854.477;170.0;43887.84
house;Guerrero;16.860.338;-99.870.399;168.0;94835.67
house;Veracruz de Ignacio de la Llave;19.109.509;-96.111.477;220.0;105372.96
house;Guerrero;16.771.518;-99.772.466;180.0;79029.72
house;Quer‚taro;23.634.501;-102.552.788;250.0;176499.72
apartment;Yucat n;210.307.114;-896.181.018;157.0;81630.71
house;Quer‚taro;206.536.084;-1.003.469.826;128.0;105372.96
house;Estado de M‚xico;19.650.003;-99.220.367;135.0;126477.54
house;Nuevo Le¢n;25.708.134;-100.145.821;60.0;34254.33
house;Nuevo Le¢n;25.751.371;-100.238.281;185.0;72707.34
apartment;Distrito Federal;19.351.371;-99.161.529;60.0;35563.37
house;Distrito Federal;19.298.899;-99.208.048;300.0;207057.88
house;Veracruz de Ignacio de la Llave;25.581.989;-103.378.005;220.0;76395.4
house;Tamaulipas;26.074.236;-98.349.915;200.0;126447.56
house;Quintana Roo;211.504.824.698;-868.156.854.808;261.0;216014.58
house;Jalisco;20.785.506;-103.442.286;98.0;52423.05
apartment;Distrito Federal;19.374.421;-9.913.907;72.0;118386.52
house;Yucat n;2.099.947;-89.642.815;211.0;63238.77
house;Estado de M‚xico;19.533.243;-99.227.295;200.0;173865.39
house;Quer‚taro;20.705.742;-100.444.016;300.0;226551.88
house;Sonora;29.058.504;-110.978.981;185.0;34254.33
house;Puebla;1.899.466;-982.761.016;178.0;139652.29
house;Sinaloa;24.754.314;-107.402.241;280.0;84298.37
house;Estado de M‚xico;19.544.106;-99.112.656;131.0;68492.42
house;Chihuahua;286.329.957;-1.060.691.004;115.0;63238.77
house;Yucat n;20.992.149.142;-895.655.331.016;121.0;65873.72
house;San Luis Potos¡;22.141.575;-100.900.192;108.0;50591.01
house;Distrito Federal;19.499.857;-99.097.517;300.0;126447.56
apartment;Distrito Federal;19.381.729;-99.164.986;80.0;142253.5
house;Morelos;18.942.068;-99.242.531;290.0;242415.29
house;Puebla;19.087.196;-98.288.637;148.0;72707.34
house;Veracruz de Ignacio de la Llave;191.616.453;-96.154.687;290.0;147557.13
house;Puebla;18.989.595;-98.203.529;200.0;150192.08
house;Morelos;18.917.542;-98.963.181;220.0;110641.61
house;Yucat n;209.993.534;-895.910.162;192.0;86953.31
house;Baja California Sur;241.499.447.277;-1.103.169.306.368;176.0;131747.44
apartment;Distrito Federal;19.384.533;-99.183.172;120.0;189716.32
house;Distrito Federal;19.317.922;-99.236.124;350.0;176499.72
house;Estado de M‚xico;19.696.592;-99.231.445;87.0;152000.5
apartment;Distrito Federal;193.825.040.623;-991.580.399.126;78.0;137017.34
apartment;Distrito Federal;19.401.819;-99.184.615;75.0;78502.86
house;Puebla;18.998.509;-98.179.484;200.0;102738.64
apartment;San Luis Potos¡;221.418;-101.027.344;114.0;88270.78
house;Yucat n;21.072.905;-8.965.963;266.0;111721.83
house;Nuevo Le¢n;256.318.511;-100.170.963;204.0;51644.99
house;Estado de M‚xico;19.283.869;-99.588.992;70.0;57006.77
house;Jalisco;20.532.827;-103.483.829;155.0;110641.61
house;Morelos;18.918.608;-98.941.094;247.0;142287.24
apartment;Jalisco;20.649.012;-103.448.288;88.0;82875.83
house;Yucat n;21.030.668;-89.599.258;175.0;120944.15
house;Zacatecas;23.634.501;-102.552.788;170.0;89567.02
apartment;Distrito Federal;19.380.937;-99.179.545;98.0;197100.13
apartment;Estado de M‚xico;19.559.799;-99.233.795;60.0;34599.16
house;Yucat n;21.072.905;-8.965.963;127.0;47417.83
house;Distrito Federal;19.367.215;-99.222.138;180.0;116173.69
house;Puebla;19.044.477;-98.328.011;326.0;326733.66
house;Veracruz de Ignacio de la Llave;18.134.026;-94.476.112;210.0;247626.47
house;Veracruz de Ignacio de la Llave;25.572.505;-103.425.036;330.0;121178.91
house;Estado de M‚xico;19.290.517;-99.694.921;157.0;105372.96
house;Jalisco;20.788.616;-103.435.217;156.0;123813.23
apartment;Nuevo Le¢n;256.526.883;-1.004.122.654;101.0;160866.42
house;Nuevo Le¢n;25.680.067;-100.458.626;336.0;142253.5
house;Estado de M‚xico;19.305.643;-98.901.535;120.0;42159.18
house;Estado de M‚xico;19.684.991;-99.225.298;60.0;37670.83
house;Yucat n;21.008.295;-89.591.019;282.0;123052.11
apartment;Guerrero;168.572.859;-999.089.643;130.0;104870.96
house;San Luis Potos¡;22.093.321;-100.895.958;110.0;46840.27
house;Puebla;23.634.501;-102.552.788;156.0;94835.67
house;San Luis Potos¡;221.387.477;-1.010.181.525;200.0;97469.99
house;Estado de M‚xico;19.428.043;-99.227.384;309.0;306529.96
house;Hidalgo;20.059.217;-98.790.423;200.0;136984.85
house;Yucat n;21.292.982;-89.603.973;100.0;139652.29
house;Morelos;18.903.454;-99.056.687;145.0;89567.02
house;Distrito Federal;19.411.699;-99.166.247;120.0;230874.8
house;Morelos;188.917.916.491;-992.227.220.535;183.0;147557.13
house;Yucat n;210.424.858;-895.568.382;107.0;50579.02
apartment;Quer‚taro;20.711.874;-100.448.934;140.0;102211.77
apartment;Distrito Federal;19.428.152;-99.106.194;67.0;79029.72
house;Estado de M‚xico;19.234.822;-99.559.659;115.0;105372.96
house;Estado de M‚xico;19.558.449;-9.922.973;180.0;67965.56
house;Chihuahua;28.652.079;-106.109.581;227.0;110641.61
house;Nuevo Le¢n;25.707.024;-10.021.376;250.0;110667.85
house;Aguascalientes;21.878.481;-102.332.787;215.0;136490.35
house;Veracruz de Ignacio de la Llave;19.155.567;-9.613.928;165.0;60589.45
house;Hidalgo;200.568.798.423;-987.653.755.526;200.0;68508.67
house;Nuevo Le¢n;25.634.661;-100.295.769;242.0;76413.51
apartment;Distrito Federal;19.367.931;-99.170.262;120.0;120652.04
house;Distrito Federal;19.360.526;-99.301.674;220.0;87703.06
house;Distrito Federal;19.464.398;-99.113.317;304.0;259470.39
house;Puebla;1.901.195;-98.219.383;385.0;237089.17
apartment;Yucat n;212.929.822;-896.039.725;255.0;236144.12
house;Distrito Federal;19.351.396;-99.130.999;225.0;237089.17
house;Morelos;1.893.409;-99.254.997;218.0;143530.93
house;Quer‚taro;206.990.975;-1.004.705.682;276.0;131747.44
house;Yucat n;21.030.668;-89.599.258;100.0;79029.72
house;Yucat n;20.996.355;-89.583.946;201.0;92223.21
house;Puebla;18.983.141;-98.265.739;135.0;42149.18
house;Estado de M‚xico;192.826.098;-996.556.653;90.0;56387.9
house;Tamaulipas;224.107.891;-979.342.897;176.0;60603.82
house;Tabasco;18.263.374;-93.179.222;104.0;39514.86
house;Distrito Federal;19.396.669;-99.067.626;220.0;110050.31
house;Yucat n;21.039.522;-89.563.911;174.0;65858.1
house;Estado de M‚xico;19.545.097;-9.921.289;233.0;171306.94
apartment;Puebla;19.054.064;-98.245.911;95.0;84318.36
house;Estado de M‚xico;1.962.378;-99.199.085;153.0;108007.29
house;Sinaloa;23.240.411;-106.432.565;189.0;63118.4
apartment;Distrito Federal;19.452.331;-99.177.162;90.0;73234.21
house;Quintana Roo;21.129.547;-86.817.017;275.0;173865.39
apartment;Distrito Federal;19.342.083;-990.532.159;86.0;90115.25
house;Nuevo Le¢n;25.702.822;-100.304.192;148.0;94594.66
house;Veracruz de Ignacio de la Llave;19.563.358;-96.939.697;110.0;39524.23
house;Veracruz de Ignacio de la Llave;19.205.341;-96.197.784;130.0;84298.37
house;Yucat n;210.424.858;-895.568.382;185.0;76677.01
apartment;Guerrero;16.829.584;-999.083;154.0;114487.72
house;Quer‚taro;20.726.007;-100.442.642;273.0;181811.47
house;San Luis Potos¡;23.634.501;-102.552.788;187.0;94308.8
house;Distrito Federal;19.395.069;-99.204.927;110.0;84825.23
apartment;Distrito Federal;19.400.004;-9.916.735;94.0;217911.29
house;Tabasco;17.979.631;-92.965.249;100.0;65858.1
house;Quer‚taro;205.887.932;-1.003.898.881;84.0;49537.03
house;Yucat n;21.006.756;-89.570.984;162.0;76413.51
house;Yucat n;21.013.465;-89.591.041;239.0;283558.65
house;Chiapas;19.671.066;-101.213.341;175.0;92201.34
house;Veracruz de Ignacio de la Llave;181.495.073;-944.422;200.0;158096.93
house;Nuevo Le¢n;257.418.083;-1.004.057.781;211.0;124501.99
house;Yucat n;20.968.147;-89.629.875;123.0;41095.45
house;Tamaulipas;222.621.259;-978.238.578;141.0;78502.86
house;Jalisco;20.767.952;-10.340.899;148.0;96363.57
house;Morelos;18.795.519;-99.231.445;150.0;67438.69
apartment;Distrito Federal;19.449.392;-99.138.544;70.0;42676.05
apartment;Quintana Roo;211.564.082.129;-868.488.141.149;95.0;68508.67
house;Tamaulipas;223.160.889;-978.884.841;165.0;76940.5
apartment;Distrito Federal;19.486.255;-99.214.043;65.0;46890.97
apartment;Distrito Federal;1.936.594;-99.163.153;85.0;106848.18
house;Veracruz de Ignacio de la Llave;19.146.434;-96.161.783;91.0;42149.18
house;Yucat n;21.035.221;-89.635.757;204.0;93781.94
house;Guerrero;168.643.286.803;-998.879.082.142;170.0;115937.75
house;Quer‚taro;20.726.007;-100.442.642;180.0;109324.45
house;Sinaloa;23.261.934;-106.408.936;124.0;67702.13
house;Quintana Roo;21.139.086;-8.684.964;66.0;36880.53
house;Veracruz de Ignacio de la Llave;25.535.524;-103.379.302;276.0;63223.78
house;Yucat n;210.043.658;-895.614.233;79.0;36889.28
apartment;Distrito Federal;19.364.613;-99.161.892;70.0;93255.07
apartment;Distrito Federal;19.366.505;-99.222.297;72.0;64281.19
house;Quer‚taro;206.521.079;-1.003.491.545;250.0;144922.18
house;Yucat n;210.350.497.573;-895.990.741.253;137.0;78995.76
apartment;Distrito Federal;19.354.947;-99.087.529;65.0;37386.32
house;Yucat n;21.008.295;-89.591.019;142.0;91169.23
house;Quer‚taro;206.476.044;-10.035.253;150.0;104319.23
house;Yucat n;21.030.668;-89.599.258;305.0;184182.92
house;Distrito Federal;19.371.317;-99.140.957;300.0;123981.3
apartment;Veracruz de Ignacio de la Llave;191.356.101;-961.142.685;105.0;50064.02
apartment;Distrito Federal;19.377.169;-99.187.643;90.0;56514.99
apartment;Distrito Federal;19.381.591;-99.165.397;124.0;270872.74
house;Yucat n;21.039.522;-89.563.911;230.0;92223.21
house;Jalisco;20.755.833;-103.413.251;180.0;144887.83
house;Estado de M‚xico;1.927.223;-99.575.691;300.0;184446.42
apartment;Veracruz de Ignacio de la Llave;19.191.416;-96.127.518;70.0;62448.28
house;San Luis Potos¡;22.121.187;-100.951.736;154.0;57968.87
house;Tabasco;17.987.557;-92.929.147;150.0;71126.75
house;Estado de M‚xico;194.653.884;-995.940.417;70.0;39524.23
house;Morelos;188.493.694;-989.479.805;250.0;84298.37
house;Yucat n;210.529.434.814;-896.679.210.663;141.0;62975.27
house;Morelos;18.942.068;-99.242.531;320.0;289844.37
house;Guerrero;16.808.875;-99.821.739;104.0;102738.64
apartment;Estado de M‚xico;19.531.773;-99.245.873;174.0;326656.19
house;Tamaulipas;25.860.595;-97.504.808;212.0;71126.75
house;Guanajuato;211.666.103;-1.016.315.416;210.0;131716.2
house;Morelos;18.882.006;-99.148.384;240.0;100104.31
apartment;Puebla;19.002.178;-98.271.063;87.0;173986.78
house;Estado de M‚xico;19.425.918;-99.230.123;300.0;215222.62
house;Morelos;188.736.789;-991.922.665;257.0;188398.84
house;San Luis Potos¡;22.186.096;-101.005.652;240.0;144887.83
house;Yucat n;21.075.163;-89.516.731;189.0;86932.69
house;Puebla;18.984.862;-98.222.234;289.0;226551.88
apartment;Distrito Federal;193.650.311;-991.477.363;83.0;139652.29
apartment;Morelos;18.917.393;-99.221.062;127.0;57955.13
house;Distrito Federal;19.399.375;-99.149.986;95.0;246994.23
house;Baja California;325.622.552;-1.153.169.575;75.0;42149.18
apartment;Distrito Federal;19.452.689;-99.117.987;60.0;36269.27
house;Distrito Federal;19.336.104;-99.101.761;70.0;50087.3
house;Zacatecas;23.634.501;-102.552.788;138.0;63223.78
house;Jalisco;20.567.506;-10.348.332;149.0;110588.92
house;Nayarit;20.722.561;-105.270.132;84.0;39514.86
apartment;Distrito Federal;193.987.957;-991.594.498;110.0;274034.68
house;San Luis Potos¡;221.176.282.971;-101.015.124.321;380.0;266066.74
house;Yucat n;21.006.756;-89.570.984;90.0;39462.17
house;Veracruz de Ignacio de la Llave;25.510.739;-103.357.425;140.0;39514.86
house;Tamaulipas;222.695.545;-978.750.355;140.0;71301.71
house;Estado de M‚xico;193.308.425;-995.817.205;140.0;121207.64
house;Estado de M‚xico;192.398.293;-99.617.673;332.0;242415.29
house;Estado de M‚xico;194.689.569;-992.727.792;372.0;144887.83
house;Morelos;18.917.542;-98.963.181;200.0;131747.44
house;Tabasco;179.728.054.562;-929.515.487.516;134.0;104343.97
house;Nuevo Le¢n;2.579.255;-100.274.638;159.0;74972.86
apartment;Distrito Federal;193.928.136;-991.738.213;112.0;312957.71
house;Sinaloa;24.804.811;-10.746.476;95.0;47417.83
house;Aguascalientes;21.905.983;-102.286.817;157.0;41622.32
house;Morelos;18.900.945;-99.232.574;279.0;142253.5
house;Tamaulipas;222.900.902;-978.437.788;75.0;34254.33
apartment;Distrito Federal;19.375.374;-99.137.657;80.0;34077.61
house;Nuevo Le¢n;25.660.711;-100.289.459;222.0;118544.58
apartment;Puebla;190.206.582.554;-982.238.459.587;100.0;103606.19
house;Yucat n;209.608.384.839;-896.215.687.395;160.0;52159.61
apartment;Distrito Federal;19.409.369;-99.171.906;83.0;263494.89
house;Nuevo Le¢n;257.584.835;-1.004.052.434;131.0;92023.21
house;Nuevo Le¢n;25.712.547;-100.249.496;210.0;83000.89
house;Yucat n;210.511.962.595;-895.385.822.654;168.0;80112.98
house;Puebla;190.927.640.219;-982.267.805.468;100.0;51644.99
house;Jalisco;20.792.152;-103.475.021;104.0;39514.86
house;Guanajuato;21.121.012;-101.600.136;207.0;121207.64
house;San Luis Potos¡;221.830.772.497;-1.010.302.325.338;92.0;34781.32
apartment;Distrito Federal;19.404.032;-99.179.694;103.0;209902.95
house;Morelos;18.814.863;-99.211.439;97.0;68492.42
apartment;Distrito Federal;19.368.544;-99.163.605;105.0;284507.01
house;Puebla;190.550.344;-982.731.403;330.0;189716.32
house;Yucat n;210.430.781.672;-89.551.603.049;190.0;89061.27
house;Estado de M‚xico;19.699.144;-98.978.363;180.0;68492.42
apartment;Distrito Federal;19.341.894;-99.224.525;96.0;156958.3
house;Quer‚taro;20.596.285;-100.357.695;300.0;144887.83
apartment;Puebla;19.035.632;-98.223.132;92.0;109587.88
house;Puebla;190.217.424;-982.604.216;215.0;155461.98
house;Chiapas;19.987.465;-102.284.888;330.0;210745.93
apartment;Morelos;18.957.352;-99.260.544;76.0;52698.97
house;Morelos;18.845.494;-9.920.547;136.0;71765.83
apartment;Distrito Federal;19.366.901;-99.297.272;65.0;109387.67
house;San Luis Potos¡;221.840.801.528;-1.010.286.072.441;110.0;39830.98
house;Estado de M‚xico;19.615.452;-99.206.348;70.0;47681.26
house;Estado de M‚xico;19.590.134;-99.280.419;100.0;44783.51
house;Distrito Federal;19.473.907;-99.177.444;320.0;91042.24
house;San Luis Potos¡;22.149.093;-100.889.863;180.0;45321.12
house;Estado de M‚xico;19.641.889;-991.774.462;250.0;79048.46
house;Veracruz de Ignacio de la Llave;19.089.373;-96.130.805;168.0;94835.67
house;Quer‚taro;20.606.224;-100.329.168;165.0;97469.99
house;Yucat n;21.001.256;-89.600.723;325.0;183296.27
apartment;Nuevo Le¢n;257.302.897;-1.003.965.403;160.0;104497.22
house;Puebla;19.004.742;-98.235.992;180.0;63223.78
house;Morelos;18.920.158;-99.180.214;85.0;48734.99
house;Morelos;18.916.586;-99.214.371;272.0;262967.9
house;Puebla;19.063.091;-98.296.013;252.0;130873.22
apartment;Distrito Federal;19.371.321;-99.140.985;84.0;93465.82
apartment;Puebla;190.378.006;-983.007.086;120.0;166001.78
apartment;Distrito Federal;19.362.824;-99.266.178;162.0;210745.93
house;Chiapas;16.780.325;-93.119.637;180.0;105372.96
house;Yucat n;21.039.522;-89.563.911;178.0;60076.83
apartment;Distrito Federal;19.465.454;-99.162.665;69.0;75375.18
house;Jalisco;20.700.756;-103.333.385;300.0;94308.8
house;Baja California Sur;22.886.851;-109.946.872;94.0;50485.62
house;Quer‚taro;20.549.404;-100.378.563;110.0;76395.4
house;Distrito Federal;19.353.288;-99.244.721;150.0;136405.3
house;Estado de M‚xico;19.278.994;-99.559.006;136.0;89567.02
house;Puebla;18.985.191;-98.186.447;148.0;105372.96
apartment;Jalisco;2.067.603;-103.425.418;125.0;157479.9
apartment;Guerrero;168.763.009.074;-998.829.327.151;88.0;39260.73
house;Nayarit;21.525.436;-104.923.553;115.0;47429.08
apartment;Chiapas;16.748.743;-93.066.491;73.0;43202.91
apartment;Distrito Federal;19.432.657;-99.177.444;150.0;135085.08
house;Quer‚taro;20.618.279;-100.346.985;160.0;99601.06
house;Estado de M‚xico;1.972.876;-99.461.708;236.0;237145.4
house;Veracruz de Ignacio de la Llave;2.551.506;-103.413.092;230.0;44783.51
house;Quer‚taro;20.419.854;-99.998.039;89.0;40568.59
house;Morelos;18.804.197;-98.932.816;117.0;65858.1
apartment;San Luis Potos¡;22.133.104;-100.982.117;100.0;53740.21
apartment;Distrito Federal;19.400.249;-99.177.444;150.0;273969.71
house;Yucat n;2.103.071;-89.618.103;382.0;223970.65
house;Jalisco;20.649.154;-105.202.538;90.0;33719.34
house;Baja California;32.426.032;-117.033.916;140.0;62570.46
house;Tamaulipas;26.058.614;-98.322.969;252.0;66933.76
house;Veracruz de Ignacio de la Llave;25.599.048;-103.412.397;189.0;64277.51
house;Baja California Sur;24.129.181;-11.031.971;110.0;68492.42
house;Tamaulipas;22.238.298;-97.841.892;200.0;110641.61
house;Puebla;19.046.561;-98.190.349;110.0;100735.92
apartment;Distrito Federal;19.451.872;-99.173.522;70.0;66911.83
house;Estado de M‚xico;19.253.367;-99.606.303;260.0;324021.87
house;Sonora;290.287.123;-11.097.103;200.0;47417.83
apartment;Distrito Federal;194.556.947.061;-991.635.761.259;76.0;121355.2
house;Jalisco;207.670.434;-1.033.941.011;195.0;135931.12
apartment;Distrito Federal;19.336.195;-9.923.692;100.0;74920.17
house;San Luis Potos¡;221.564.699;-1.009.855.409;110.0;39524.23
house;Yucat n;210.634.817;-896.110.378;296.0;137017.34
house;Yucat n;21.135.925;-896.446.768;200.0;79029.72
house;Quer‚taro;20.547.818;-100.407.691;80.0;51632.75
house;Morelos;18.954.132;-99.266.083;210.0;86932.69
house;Quintana Roo;21.152.508;-86.850.891;180.0;89040.15
house;Morelos;18.882.725;-99.163.605;112.0;86953.31
house;Tabasco;1.797.423;-92.923.836;60.0;34246.21
house;Chiapas;16.740.764;-93.089.951;148.0;84298.37
house;Nuevo Le¢n;25.764.894;-100.264.221;160.0;65858.1
apartment;Quer‚taro;2.060.782;-100.366.721;110.0;131716.2
house;Distrito Federal;19.469.688;-99.085.456;248.0;176541.57
apartment;Distrito Federal;192.711.236.877;-992.088.389.397;72.0;40645.77
apartment;Jalisco;20.723.133;-103.418.115;84.0;178080.31
house;Chiapas;1.676.764;-93.178.283;250.0;173865.39
house;Yucat n;209.673.702;-895.925.857;290.0;123315.6
house;Yucat n;21.017.197;-89.574.516;158.0;102763.0
house;Morelos;18.862.602;-99.213.448;320.0;173906.62
house;Veracruz de Ignacio de la Llave;19.123.617;-96.113.161;220.0;99577.45
house;Distrito Federal;19.355.938;-99.129.918;200.0;315618.38
house;Baja California Sur;1.935.913;-98.983.431;189.0;62696.91
house;Yucat n;20.989.016;-89.632.225;300.0;131747.44
house;Veracruz de Ignacio de la Llave;25.453.195;-100.935.486;203.0;94818.28
house;Yucat n;20.938.659;-89.615.316;173.0;50052.15
house;Tamaulipas;22.270.658;-97.849.037;263.0;176541.57
house;Chiapas;1.678.141;-93.096.451;87.0;51381.5
house;Chiapas;19.691.938;-101.176.615;220.0;155425.12
house;Estado de M‚xico;1.964.079;-99.098.691;105.0;68492.42
apartment;Puebla;19.011.347;-98.246.264;139.0;179134.04
house;Jalisco;20.647.029;-103.454.953;122.0;77975.99
house;Morelos;18.905.066;-99.224.869;120.0;121178.91
house;Veracruz de Ignacio de la Llave;190.668.128.782;-960.734.760.761;271.0;173865.39
house;Quer‚taro;20.705.742;-100.444.016;350.0;184446.42
house;Estado de M‚xico;1.954.323;-99.222.374;181.0;154950.94
house;Sinaloa;248.090.649;-1.073.940.117;212.0;112222.21
house;Tamaulipas;25.872.879;-97.509.221;287.0;115910.26
house;Distrito Federal;19.373.264;-99.104.161;250.0;135430.6
apartment;Distrito Federal;19.383.952;-99.160.229;100.0;174140.42
house;Chiapas;16.757.278;-93.134.056;298.0;181084.17
house;Tamaulipas;22.320.061;-9.786.808;67.0;35835.3
house;Guanajuato;205.834.364.154;-1.011.981.904.507;180.0;131747.44
apartment;Distrito Federal;19.396.018;-99.147.827;80.0;183989.52
house;Chiapas;19.646.418;-101.238.213;153.0;97469.99
house;Estado de M‚xico;195.896.123;-992.907.617;60.0;34254.33
house;Quer‚taro;20.631.845;-100.390.495;315.0;237089.17
house;Baja California Sur;24.083.153;-110.303.329;65.0;33358.45
house;Veracruz de Ignacio de la Llave;19.144.342;-96.139.002;140.0;68492.42
house;Estado de M‚xico;19.272.027;-99.553.293;107.0;71653.61
house;Hidalgo;201.010.608;-987.591.311;320.0;192305.66
house;Veracruz de Ignacio de la Llave;181.495.449.022;-945.140.772.966;104.0;57955.13
apartment;Distrito Federal;19.333.901;-99.240.356;85.0;179134.04
apartment;Distrito Federal;19.390.031;-99.174.182;108.0;209692.2
house;Nuevo Le¢n;25.781.807;-100.187.794;155.0;65858.1
house;Quer‚taro;207.012.562;-1.004.654.217;295.0;187081.37
apartment;Distrito Federal;19.365.834;-99.263.505;126.0;180187.77
house;Yucat n;209.637.793;-896.612.548;249.0;44783.51
apartment;Estado de M‚xico;19.404.701;-99.292.419;300.0;284047.49
house;Veracruz de Ignacio de la Llave;18.879.525;-96.921.847;123.0;55320.8
house;Puebla;18.978.682;-98.250.015;162.0;88513.29
house;Quer‚taro;206.205.869;-100.388.042;322.0;209955.63
apartment;Nuevo Le¢n;25.654.263;-100.297.874;114.0;55333.92
house;Estado de M‚xico;19.180.459;-99.590.174;175.0;134382.39
apartment;Durango;24.010.702;-104.613.602;88.0;43213.16
apartment;Distrito Federal;19.474.655;-99.189.277;60.0;40041.72
apartment;Quer‚taro;2.065.449;-100.384.446;160.0;250320.14
house;Veracruz de Ignacio de la Llave;25.569.556;-103.383.702;244.0;101158.04
house;Morelos;18.813.505;-98.953.514;66.0;34246.21
house;Quintana Roo;21.118.165;-86.880.921;189.0;118544.58
apartment;Tabasco;17.972.448;-92.960.579;104.0;57968.87
house;Veracruz de Ignacio de la Llave;19.165.146;-96.160.652;220.0;139619.18
apartment;Distrito Federal;193.499.358;-992.906.864;78.0;147557.13
apartment;Estado de M‚xico;19.402.713;-9.927.547;130.0;101196.61
house;Morelos;18.948.109;-9.926.886;200.0;155461.98
house;Quer‚taro;205.887.932;-1.003.898.881;334.0;279238.36
apartment;Distrito Federal;19.406.592;-99.155.442;90.0;224660.17
house;Nuevo Le¢n;25.677.525;-100.258.614;257.0;115937.75
house;Distrito Federal;19.318.989;-99.094.437;100.0;98523.72
house;Quer‚taro;20.712.143;-100.454.275;230.0;152790.8
house;Yucat n;2.101.429;-89.605.148;280.0;144922.18
house;Veracruz de Ignacio de la Llave;19.532.306;-96.897.717;100.0;60589.45
house;Veracruz de Ignacio de la Llave;19.173.773;-961.342.241;160.0;52686.48
house;Veracruz de Ignacio de la Llave;19.139.896;-96.109.911;163.0;68492.42
house;Baja California;32.665.619;-115.433.372;134.0;133442.74
house;Tamaulipas;22.270.658;-97.849.037;93.0;65873.72
house;Yucat n;21.021.821;-89.634.346;235.0;110641.61
