property_type;state;lat;lon;area_m2;price_mxn
house;Yucat n;;;135.0;1010000.0
house;Tabasco;23.634.501;-102.552.788;82.0;850000.0
house;Estado de M‚xico;19.619.862;-99.146.996;75.0;703705.0
house;Veracruz de Ignacio de la Llave;;;255.0;2850000.0
house;Hidalgo;20.059.035;-98.790.359;240.0;2700000.0
house;Estado de M‚xico;19.468.129;-9.904.049;86.0;813345.0
house;Yucat n;210.424.858;-895.568.382;200.0;1735000.0
house;Guerrero;16.758.369;-99.768.737;136.0;2559600.0
house;Quer‚taro;;;112.0;1519200.0
house;Nuevo Le¢n;256.315.927;-1.001.953.926;90.0;820000.0
apartment;Quintana Roo;211.595.877.395;-868.222.086.132;145.0;3160000.0
apartment;Guerrero;16.860.338;-99.870.399;250.0;1900000.0
apartment;Guerrero;168.665.658.191;-998.808.288.574;108.0;980000.0
apartment;Jalisco;20.685.983;-103.447.155;64.0;1470000.0
house;Yucat n;210.751.632;-895.167.298;252.0;1974967.0
apartment;Distrito Federal;19.376.822;-99.174.675;114.0;4436000.0
apartment;Puebla;190.303.511;-983.143.192;102.0;1850000.0
house;Distrito Federal;19.433.274;-99.210.758;304.0;4398100.0
apartment;Distrito Federal;19.394.358;-99.177.444;100.0;4358600.0
house;Yucat n;21.039.522;-89.563.911;146.0;1450000.0
house;Morelos;188.954.874;-991.732.936;154.0;1780000.0
house;Puebla;18.984.862;-98.222.234;289.0;4300000.0
house;Yucat n;21.072.905;-8.965.963;90.0;1200000.0
house;Morelos;18.813.908;-99.201.675;67.0;650000.0
house;Jalisco;20.424.117;-10.329.756;299.0;3100000.0
house;Yucat n;210.381.057;-895.933.722;182.0;1995000.0
house;Estado de M‚xico;192.828.302.502;-99.566.673.518;267.0;3000000.0
house;Veracruz de Ignacio de la Llave;;;370.0;3500000.0
house;Chihuahua;286.464.221;-1.060.860.628;233.0;2950000.0
apartment;Estado de M‚xico;195.652.097;-992.646.998;87.0;1850000.0
house;Estado de M‚xico;19.284.855;-98.950.752;80.0;1320000.0
house;Nayarit;2.070.506;-105.269.812;101.0;1250000.0
house;Distrito Federal;192.753.576;-991.675.547;370.0;5000000.0
apartment;Veracruz de Ignacio de la Llave;19.137.135;-96.112.946;110.0;1100000.0
house;Jalisco;20.675.995;-103.420.837;220.0;4050000.0
house;Tamaulipas;223.151.894;-978.573.594;318.0;900000.0
house;Distrito Federal;;;220.0;1600000.0
apartment;Distrito Federal;19.436.404;-99.173.617;70.0;1710284.0
house;Quintana Roo;21.095.711;-86.869.343;147.0;1869000.0
house;Baja California;32.509.445;-116.985.857;104.0;1500000.0
house;Morelos;;;333.0;3600000.0
house;Jalisco;20.616.705;-103.413.612;105.0;1250000.0
house;Sinaloa;;;183.0;725000.0
house;Sinaloa;23.215.713;-106.418.182;315.0;4800000.0
house;Yucat n;21.039.522;-89.563.911;277.0;2800000.0
house;Yucat n;21.072.905;-8.965.963;240.0;2335000.0
house;Yucat n;21.072.905;-8.965.963;201.0;1429000.0
apartment;Yucat n;21.015.982;-89.705.116;172.0;3350000.0
apartment;San Luis Potos¡;22.125.907.517;-1.009.865.534.306;103.0;1020000.0
house;Quer‚taro;20.547.674;-100.394.761;110.0;980000.0
apartment;Jalisco;20.677.448;-103.400.405;135.0;4500000.0
house;Morelos;;;270.0;5000000.0
house;Veracruz de Ignacio de la Llave;209.638.852;-974.124.504;88.0;850000.0
apartment;Distrito Federal;194.034.054;-991.825.418;120.0;3976910.0
house;Quer‚taro;203.951.106;-999.856.344;180.0;1400000.0
house;Estado de M‚xico;19.536.936;-9.922.732;270.0;3500000.0
apartment;Distrito Federal;19.453.142;-99.180.214;68.0;1000000.0
house;Veracruz de Ignacio de la Llave;191.496.682.663;-961.202.859.879;150.0;1350000.0
house;Distrito Federal;193.434.214;-991.294.848;280.0;5980000.0
house;Hidalgo;20.099.826;-98.772.656;140.0;985000.0
house;Distrito Federal;19.473.623;-99.124.863;147.0;2325966.0
house;Quer‚taro;;;279.0;3151000.0
apartment;Quer‚taro;205.835.963;-1.003.729.496;144.0;3045000.0
house;Puebla;23.634.501;-102.552.788;173.0;2650000.0
house;Quer‚taro;205.878.757.635;-1.004.464.960.098;111.0;1324000.0
house;Colima;19.232.695;-103.696.887;189.0;1200000.0
apartment;Baja California;32.440.475;-116.983.772;70.0;689000.0
house;Veracruz de Ignacio de la Llave;19.513.165;-96.898.109;130.0;2250000.0
house;Hidalgo;23.634.501;-102.552.784;140.0;1500000.0
house;Chihuahua;286.983.446;-1.060.940.375;350.0;4400000.0
house;Sinaloa;24.770.091;-107.444.782;155.0;1450000.0
house;Chiapas;;;200.0;1150000.0
house;Tamaulipas;26.078.394;-98.325.452;80.0;850000.0
house;Sonora;289.547.958.912;-1.110.455.946.252;206.0;1650000.0
house;Nuevo Le¢n;25.626.854;-100.188.538;170.0;1500000.0
house;Quer‚taro;20.662.301;-100.441.093;235.0;2500000.0
apartment;Yucat n;;;202.0;3999000.0
apartment;Quintana Roo;210.498.059.839;-868.535.878.365;178.0;3906000.0
house;Chiapas;16.740.425;-9.312.841;170.0;1800000.0
house;Chiapas;;;180.0;2200000.0
apartment;Distrito Federal;19.395.097;-99.150.424;65.0;1008953.0
house;Puebla;;;189.0;2750000.0
apartment;Morelos;18.960.824;-99.268.107;92.0;1100000.0
house;Quer‚taro;207.037;-100.462.857;220.0;3200000.0
house;Chihuahua;2.864.073;-106.109.581;300.0;3750000.0
apartment;Distrito Federal;19.305.233;-9.912.269;75.0;905000.0
apartment;Estado de M‚xico;19.379.597;-99.293.808;80.0;3170400.0
house;Estado de M‚xico;192.618.397.109;-995.839.350.622;195.0;2600000.0
apartment;Distrito Federal;192.753.576;-991.675.547;101.0;3295000.0
house;Durango;25.553.129;-103.510.059;187.0;800000.0
apartment;Morelos;1.893.409;-99.254.997;130.0;1800000.0
house;Distrito Federal;19.346.687;-99.011.513;115.0;1695000.0
house;Guerrero;16.838.398;-99.897.744;113.0;1850000.0
house;Colima;;;96.0;910000.0
house;Estado de M‚xico;19.482.168;-99.264.038;140.0;646413.0
house;Baja California;;;86.0;1042540.0
house;Sinaloa;248.427.771;-1.073.931.108;117.0;900000.0
house;Quintana Roo;21.101.317;-86.862.888;182.0;2550000.0
house;Quer‚taro;;;200.0;2400000.0
house;Quintana Roo;21.164.147;-86.868.479;330.0;3761660.0
house;Morelos;;;110.0;1663550.0
apartment;Nuevo Le¢n;25.647.146;-100.356.804;100.0;3800000.0
house;Nuevo Le¢n;256.442.345.726;-1.002.966.356.277;228.0;2700000.0
house;Sonora;290.904.798;-1.109.747.137;298.0;3500000.0
house;Yucat n;;;271.0;2380000.0
house;Baja California Sur;241.596.323.322;-1.103.057.599.068;96.0;1250000.0
house;Jalisco;20.784.784;-103.471.496;79.0;780000.0
house;Tamaulipas;222.465.535;-978.721.436;109.0;1500000.0
house;Estado de M‚xico;19.569.101;-99.303.513;180.0;4780000.0
house;Nuevo Le¢n;;;160.0;1330000.0
house;Yucat n;21.039.522;-89.563.911;214.0;2240000.0
house;Quer‚taro;20.555.649;-10.038.488;325.0;3920000.0
apartment;Distrito Federal;19.405.298;-99.164.986;74.0;4280000.0
apartment;Distrito Federal;19.258.038;-99.161.589;160.0;2800000.0
house;Morelos;18.823.669;-99.227.295;165.0;1650000.0
apartment;Distrito Federal;19.377.171;-99.188.503;75.0;2028000.0
house;Yucat n;21.017.197;-89.574.516;206.0;2160500.0
house;Morelos;18.892.714;-991.996;90.0;1100000.0
house;Estado de M‚xico;19.636.706;-99.101.569;250.0;2500000.0
house;Yucat n;21.039.522;-89.563.911;274.0;2895000.0
house;Veracruz de Ignacio de la Llave;;;195.0;2300000.0
house;Veracruz de Ignacio de la Llave;18.134.026;-94.476.112;235.0;3150000.0
house;Yucat n;210.767.191.798;-896.277.563.274;155.0;1290000.0
apartment;Distrito Federal;19.401.509;-99.154.034;90.0;2211668.0
apartment;Morelos;;;83.0;1100000.0
house;Tabasco;18.072.582;-93.165.413;350.0;1260000.0
house;Chiapas;;;95.0;1210000.0
house;Veracruz de Ignacio de la Llave;;;100.0;700000.0
house;Estado de M‚xico;;;210.0;4400000.0
house;Hidalgo;;;130.0;1280000.0
house;Yucat n;21.072.905;-8.965.963;190.0;1850000.0
house;Tamaulipas;22.247.913;-97.875.565;263.0;2420000.0
house;San Luis Potos¡;22.148.722;-10.100.119;190.0;2200000.0
house;Baja California;32.494.743;-117.016.784;92.0;980000.0
house;San Luis Potos¡;221.897.892.283;-1.009.525.537.491;138.0;950000.0
house;Puebla;18.962.954.561;-982.796.788.216;222.0;2880000.0
house;Morelos;188.859.084;-9.919.064;110.0;1650000.0
house;Chihuahua;28.643.902;-106.130.157;355.0;4950000.0
apartment;Distrito Federal;19.347.683;-99.165.877;135.0;4500000.0
apartment;Distrito Federal;19.375.374;-99.137.657;110.0;1480000.0
house;Distrito Federal;1.952.395;-99.152.881;95.0;2805000.0
house;Guerrero;16.757.619;-99.767.532;140.0;2750000.0
house;Yucat n;21.075.163;-89.516.731;197.0;1730000.0
house;Puebla;1.902.038;-98.207.626;380.0;3900000.0
house;Aguascalientes;219.243.493;-1.022.833.909;140.0;680000.0
house;Quintana Roo;211.351.429;-86.837.489;80.0;850000.0
apartment;Distrito Federal;1.939.365;-9.914.769;75.0;2992300.0
house;Nuevo Le¢n;25.733.049;-10.022.847;200.0;1320000.0
house;Baja California Sur;24.141.701;-110.347.267;275.0;3500000.0
house;Jalisco;20.579.091;-103.430.379;164.0;1650000.0
house;Nuevo Le¢n;25.731.798;-100.349.091;180.0;1410453.0
house;Estado de M‚xico;19.672.207;-99.015.656;122.0;2650000.0
apartment;Estado de M‚xico;19.401.066;-99.277.168;190.0;5800000.0
house;Yucat n;2.100.227;-895.650.908;131.0;1322000.0
house;Quintana Roo;20.680.066;-87.038.345;208.0;3360000.0
apartment;Guerrero;16.864.830.635;-998.752.605.915;61.0;850000.0
house;Jalisco;20.760.167;-103.379.168;83.0;850000.0
house;Estado de M‚xico;;;260.0;3950000.0
house;Yucat n;210.283.803.657;-89.564.639.926;174.0;675000.0
house;Tlaxcala;19.341.597;-98.215.828;180.0;3200000.0
house;Veracruz de Ignacio de la Llave;25.596.904;-1.034.203;118.0;850000.0
house;Chiapas;19.665.554;-101.235.738;115.0;1475000.0
house;Nuevo Le¢n;;;198.0;3360000.0
house;Sinaloa;;;159.0;1720000.0
house;Estado de M‚xico;19.650.003;-99.220.367;245.0;1900000.0
house;Nuevo Le¢n;257.708.161;-1.004.340.179;100.0;1150000.0
house;Tamaulipas;222.331.041;-97.861.099;130.0;1750000.0
house;Nuevo Le¢n;25.723.276;-100.401.518;278.0;4570000.0
house;Puebla;19.044.477;-98.328.011;260.0;4500000.0
house;Estado de M‚xico;19.562.922;-99.254.974;120.0;870000.0
apartment;Nuevo Le¢n;25.580.088;-100.239.685;130.0;1980000.0
house;Puebla;19.055.344;-98.212.046;146.0;1450000.0
house;Morelos;23.634.501;-102.552.788;290.0;4200000.0
apartment;Distrito Federal;1.934.189;-99.166.374;80.0;1855900.0
house;Estado de M‚xico;19.404.718;-99.263.313;139.0;4800000.0
house;Quer‚taro;20.675.023;-100.457.086;304.0;5200000.0
house;Puebla;;;252.0;2484000.0
house;Estado de M‚xico;19.532.259;-9.923.214;220.0;3876000.0
house;Tamaulipas;22.313.122;-97.858.559;193.0;950000.0
house;Tamaulipas;222.927.530.261;-978.906.248.519;88.0;1150000.0
house;Morelos;18.864.874;-98.925.911;130.0;1650000.0
house;Quer‚taro;20.726.007;-100.442.642;290.0;3790000.0
apartment;Distrito Federal;;;120.0;5250000.0
house;Nayarit;207.204.378;-1.052.706.825;152.0;1250000.0
house;Veracruz de Ignacio de la Llave;191.368.849;-961.093.008;130.0;1100000.0
apartment;Estado de M‚xico;19.291.351;-99.668.945;85.0;912000.0
apartment;Morelos;189.242.095;-992.215.659;80.0;750000.0
apartment;Quintana Roo;21.152.496;-86.869.834;99.0;2800000.0
house;Puebla;19.027.103;-98.270.025;166.0;1580000.0
house;Nuevo Le¢n;2.556.551;-100.223.213;350.0;4250000.0
house;Nuevo Le¢n;;;210.0;1300000.0
house;Morelos;18.813.505;-98.953.514;140.0;1200000.0
house;Yucat n;21.039.522;-89.563.911;253.0;2285000.0
house;Morelos;18.804.409;-98.959.038;230.0;1250000.0
house;Guerrero;;;180.0;950000.0
house;Nuevo Le¢n;25.584.658;-100.257.912;350.0;4990000.0
house;Estado de M‚xico;19.225.745;-99.567.856;270.0;3950000.0
house;Jalisco;20.763.189;-103.389.053;95.0;1550000.0
house;Distrito Federal;19.383.512;-99.084.804;115.0;1790000.0
house;Jalisco;206.460.186;-1.052.267.944;160.0;2400000.0
apartment;Distrito Federal;19.367.025;-99.170.349;85.0;3150000.0
house;San Luis Potos¡;;;350.0;4850000.0
house;Quer‚taro;;;230.0;2550000.0
house;Quer‚taro;20.604.974;-100.409.786;110.0;990000.0
house;Aguascalientes;2.193.248;-102.297.005;305.0;3650000.0
house;Puebla;;;267.0;3350000.0
house;San Luis Potos¡;22.133.745;-101.016.029;126.0;2149000.0
apartment;Puebla;19.054.064;-98.245.911;87.0;892500.0
house;Puebla;190.303.511;-983.143.192;122.0;2160000.0
house;Morelos;18.947.784;-99.201.675;300.0;4600000.0
house;Veracruz de Ignacio de la Llave;;;233.0;1650000.0
apartment;Distrito Federal;193.418.937;-992.245.237;145.0;4650000.0
house;Estado de M‚xico;;;96.0;970000.0
house;Veracruz de Ignacio de la Llave;20.963.127;-97.385.071;200.0;3500000.0
house;Estado de M‚xico;19.550.089;-99.214.828;87.0;969000.0
house;Baja California;;;101.0;1208661.0
house;Tamaulipas;22.307.415;-97.859.846;61.0;640000.0
house;Morelos;188.879.389;-990.247.871;76.0;1300000.0
house;Yucat n;21.030.668;-89.599.258;144.0;1649000.0
apartment;Veracruz de Ignacio de la Llave;191.028.372.114;-961.112.308.502;160.0;1750000.0
house;Distrito Federal;19.353.592;-99.177.275;360.0;4386000.0
house;Yucat n;;;223.0;2350440.0
house;Estado de M‚xico;;;196.0;1030000.0
house;Yucat n;210.114.451.792;-895.797.729.492;222.0;2150000.0
house;Estado de M‚xico;19.263.756;-99.540.924;134.0;1750000.0
house;Estado de M‚xico;19.415.097;-98.918.523;85.0;940000.0
house;Distrito Federal;19.471.368;-9.908.649;280.0;2680000.0
house;Quer‚taro;;;217.0;3000000.0
house;Veracruz de Ignacio de la Llave;19.125.807;-96.104.954;251.0;2650000.0
house;Distrito Federal;19.414.261;-99.104.118;167.0;4500000.0
house;Baja California;32.469.454;-117.003.688;93.0;1699000.0
house;Estado de M‚xico;195.224.961;-99.255.074;230.0;4326000.0
house;Yucat n;21.039.522;-89.563.911;181.0;1860000.0
house;Quintana Roo;206.295.586;-870.738.851;143.0;2430000.0
house;Veracruz de Ignacio de la Llave;1.917.078;-9.612.487;380.0;4500000.0
house;Chiapas;16.756.552;-93.181.732;326.0;3652132.0
house;Quer‚taro;205.745.579;-1.004.129.676;160.0;3700000.0
house;Jalisco;2.062.192;-103.259.237;250.0;2100000.0
apartment;Yucat n;210.633.485.156;-896.130.359.243;60.0;889000.0
house;Nuevo Le¢n;25.749.624;-100.304.192;172.0;2300000.0
house;Puebla;19.036.623;-98.190.544;204.0;1500000.0
house;Distrito Federal;19.358.008;-99.127.094;95.0;1922000.0
house;Chiapas;19.701.565;-101.270.798;250.0;1200000.0
apartment;Distrito Federal;19.415.143;-9.914.685;70.0;692000.0
house;Veracruz de Ignacio de la Llave;181.479.784;-944.626.507;157.0;2300000.0
apartment;Puebla;;;180.0;3790000.0
apartment;Guerrero;16.794.599;-9.983.012;230.0;3950000.0
house;Quer‚taro;20.594.322;-100.365.929;298.0;3300000.0
house;Morelos;18.919.898;-98.978.835;190.0;1850000.0
house;Veracruz de Ignacio de la Llave;19.074.387;-96.086.259;245.0;2875000.0
house;Guerrero;16.758.724;-99.767.563;142.0;1900000.0
house;Chiapas;;;122.0;1650000.0
house;Estado de M‚xico;19.650.003;-99.220.367;132.0;2605000.0
house;Estado de M‚xico;1.972.876;-99.461.708;90.0;1335000.0
apartment;Puebla;;;135.0;2400000.0
house;Jalisco;23.634.501;-102.552.788;127.0;1600000.0
house;Yucat n;20.999.449;-896.334;300.0;4350000.0
house;Yucat n;210.411.724;-895.550.539;215.0;1865085.0
house;Chihuahua;;;160.0;970000.0
house;Puebla;19.105.051;-98.243.682;170.0;1850000.0
apartment;Yucat n;210.381.057;-895.933.722;186.0;2826054.0
house;Veracruz de Ignacio de la Llave;19.136.782;-96.123.543;210.0;1700000.0
house;Baja California;3.263.496;-115.391.907;110.0;1950000.0
house;Yucat n;21.039.522;-89.563.911;223.0;2392607.0
house;Veracruz de Ignacio de la Llave;25.535.009;-103.302.429;350.0;800000.0
house;Nayarit;207.053.975;-1.052.684.878;101.0;1250000.0
house;Veracruz de Ignacio de la Llave;25.659.972;-103.366.303;170.0;940000.0
house;Tamaulipas;222.722.052;-978.476.749;214.0;2450000.0
house;Morelos;18.867.191;-99.180.214;184.0;1650000.0
house;Quer‚taro;206.962.084;-1.004.506.587;120.0;1450000.0
house;Quer‚taro;;;184.0;1750000.0
apartment;Guerrero;;;145.0;2700000.0
house;Baja California Sur;;;174.0;1550000.0
house;Distrito Federal;19.285.162;-99.194.185;150.0;2090000.0
house;Estado de M‚xico;19.497.893;-99.244.125;250.0;4450000.0
apartment;Guerrero;23.634.501;-102.552.788;170.0;3000000.0
house;Veracruz de Ignacio de la Llave;;;122.0;794000.0
house;Puebla;;;190.0;2550000.0
house;Sonora;23.634.501;-102.552.788;383.0;3500000.0
house;Quer‚taro;20.389.062;-99.957.622;95.0;930000.0
apartment;Guerrero;16.828.667;-99.858.981;137.0;1850000.0
house;Quer‚taro;20.705.742;-100.444.016;258.0;4000000.0
apartment;Distrito Federal;1.935.782;-99.149.406;80.0;1295000.0
house;Morelos;18.864.874;-98.925.911;121.0;1250000.0
house;Distrito Federal;19.342.911;-99.224.472;120.0;3267032.0
house;Estado de M‚xico;23.634.501;-102.552.788;228.0;2831000.0
house;Sonora;29.063.726;-110.976.746;102.0;1100000.0
house;Nuevo Le¢n;25.801.826;-100.196.945;190.0;1990000.0
house;Quer‚taro;205.951.924;-1.003.479.663;180.0;2280000.0
house;Puebla;19.059.084;-98.286.095;165.0;1800000.0
house;Estado de M‚xico;23.634.501;-102.552.788;150.0;672000.0
apartment;Quer‚taro;20.726.007;-100.442.642;135.0;2200000.0
house;Yucat n;210.278.699;-895.880.314;240.0;3500000.0
house;Morelos;189.147.310.938;-989.408.111.572;140.0;2250000.0
house;Yucat n;20.968.147;-89.629.875;70.0;1500000.0
house;Nuevo Le¢n;25.674.595;-100.463.539;234.0;2150000.0
house;Quer‚taro;;;140.0;797340.0
house;Yucat n;21.039.522;-89.563.911;220.0;2250000.0
house;Morelos;18.850.763;-98.943.855;160.0;1600000.0
house;Quer‚taro;20.726.007;-100.442.642;250.0;3700000.0
house;Yucat n;;;200.0;1735000.0
apartment;Puebla;19.056.689;-98.237.817;120.0;2200000.0
house;Tamaulipas;22.270.658;-97.849.037;380.0;5000000.0
house;Jalisco;20.748.312;-103.429.504;96.0;1475000.0
house;Puebla;;;240.0;2700000.0
house;San Luis Potos¡;;;237.0;3050000.0
house;Quer‚taro;20.614.635;-100.416.756;139.0;1750000.0
house;San Luis Potos¡;221.529.880.008;-1.009.653.639.793;250.0;2200000.0
house;Yucat n;21.039.522;-89.563.911;220.0;1790000.0
house;Veracruz de Ignacio de la Llave;;;160.0;900000.0
house;Nuevo Le¢n;25.723.516;-100.393.311;290.0;3444000.0
house;Veracruz de Ignacio de la Llave;19.563.767;-96.938.694;300.0;4350000.0
apartment;Distrito Federal;19.474.885;-99.188.231;92.0;1350000.0
house;Morelos;188.624.622;-992.120.335;261.0;4200000.0
house;Estado de M‚xico;19.508.698;-98.875.664;260.0;851000.0
house;Yucat n;20.968.791;-895.857.147;228.0;1264000.0
house;Puebla;;;151.0;1764000.0
apartment;Estado de M‚xico;193.735.635;-992.965.778;126.0;2700000.0
house;Quer‚taro;;;180.0;2090000.0
house;Tamaulipas;222.453.265;-978.431.699;131.0;1400000.0
apartment;Distrito Federal;19.303.392;-99.243.225;80.0;996137.0
apartment;Guerrero;16.794.434;-99.830.807;256.0;5835416.0
house;Tamaulipas;22.300.137;-97.897.331;111.0;1200000.0
house;Jalisco;20.749.051;-10.366.731;300.0;2800000.0
house;Veracruz de Ignacio de la Llave;26.847.851;-101.424.133;160.0;1273500.0
house;Baja California;23.634.501;-102.552.788;115.0;810000.0
apartment;Puebla;1.902.038;-98.207.626;219.0;1925000.0
house;Hidalgo;200.519.991;-98.755.252;110.0;850000.0
house;Yucat n;210.634.817;-896.110.378;250.0;2250000.0
house;Distrito Federal;19.399.652;-9.916.127;235.0;3900000.0
house;Durango;24.043.295;-104.636.917;350.0;4500000.0
house;Estado de M‚xico;;;130.0;1550000.0
house;Veracruz de Ignacio de la Llave;25.551.631;-103.432.737;236.0;750000.0
house;Quer‚taro;20.574.251;-100.388.476;195.0;1200000.0
apartment;Distrito Federal;19.482.603;-99.194.748;60.0;1500000.0
house;Morelos;18.953.268;-99.224.525;201.0;1500000.0
apartment;Morelos;18.891.611;-99.221.756;93.0;940000.0
apartment;San Luis Potos¡;221.441.622;-1.010.358.237;160.0;1699000.0
house;Estado de M‚xico;192.693.686;-996.021.262;250.0;5600000.0
house;Distrito Federal;;;261.0;4428050.0
house;Estado de M‚xico;;;115.0;1990000.0
house;Yucat n;210.749.983;-895.195.181;242.0;1935800.0
house;Puebla;18.462.721;-97.414.111;250.0;2750000.0
house;Estado de M‚xico;19.595.285;-99.050.201;120.0;700000.0
house;Sonora;27.934.649;-11.094.401;134.0;1100000.0
house;Sinaloa;247.911.916.858;-1.073.835.468.292;300.0;2750000.0
house;Distrito Federal;19.500.286;-99.122.093;180.0;2250000.0
house;Yucat n;21.072.905;-8.965.963;253.0;2100000.0
house;Tlaxcala;194.171.734;-981.434.147;140.0;850000.0
house;Baja California;;;106.0;1278000.0
house;Yucat n;21.008.295;-89.591.019;250.0;3006000.0
house;Morelos;18.864.482;-98.928.802;121.0;1250000.0
house;Distrito Federal;19.366.935;-99.077.541;208.0;1464700.0
house;San Luis Potos¡;23.634.501;-102.552.788;198.0;2100000.0
house;Chiapas;16.757.278;-93.134.056;255.0;3135831.0
house;Yucat n;;;270.0;2524500.0
house;Nayarit;20.697.244;-105.274.384;160.0;2950000.0
