property_type;state;lat;lon;area_m2;price_usd
house;Quintana Roo;21.129.547;-86.817.017;135.0;$93,781.94
house;Nuevo León;255.683.841;-1.002.439.723;320.0;$205,477.28
house;Chiapas;;;96.0;$56,756.79
house;Estado de México;;;268.0;$226,605.60
apartment;Tamaulipas;22.217.112;-97.854.477;170.0;$43,887.84
house;Guerrero;16.860.338;-99.870.399;168.0;$94,835.67
house;Veracruz de Ignacio de la Llave;;;180.0;$97,469.99
house;Veracruz de Ignacio de la Llave;19.109.509;-96.111.477;220.0;$105,372.96
house;Guerrero;16.771.518;-99.772.466;180.0;$79,029.72
house;Querétaro;23.634.501;-102.552.788;250.0;$176,499.72
apartment;Yucatán;210.307.114;-896.181.018;157.0;$81,630.71
house;Querétaro;206.536.084;-1.003.469.826;128.0;$105,372.96
house;Estado de México;19.650.003;-99.220.367;135.0;$126,477.54
house;Hidalgo;;;176.0;$71,390.18
house;Nuevo León;25.708.134;-100.145.821;60.0;$34,254.33
house;Nuevo León;25.751.371;-100.238.281;185.0;$72,707.34
apartment;Distrito Federal;19.351.371;-99.161.529;60.0;$35,563.37
house;Distrito Federal;19.298.899;-99.208.048;300.0;$207,057.88
house;Veracruz de Ignacio de la Llave;25.581.989;-103.378.005;220.0;$76,395.40
house;Tamaulipas;26.074.236;-98.349.915;200.0;$126,447.56
house;Quintana Roo;211.504.824.698;-868.156.854.808;261.0;$216,014.58
apartment;Distrito Federal;;;81.0;$42,149.18
house;Jalisco;20.785.506;-103.442.286;98.0;$52,423.05
apartment;Distrito Federal;19.374.421;-9.913.907;72.0;$118,386.52
house;Yucatán;2.099.947;-89.642.815;211.0;$63,238.77
house;Querétaro;;;128.0;$50,052.15
house;Estado de México;19.533.243;-99.227.295;200.0;$173,865.39
house;Querétaro;20.705.742;-100.444.016;300.0;$226,551.88
house;Sonora;29.058.504;-110.978.981;185.0;$34,254.33
house;Puebla;1.899.466;-982.761.016;178.0;$139,652.29
house;Sinaloa;24.754.314;-107.402.241;280.0;$84,298.37
house;Puebla;;;247.0;$121,178.91
house;Estado de México;19.544.106;-99.112.656;131.0;$68,492.42
house;Querétaro;;;350.0;$221,283.23
house;Chihuahua;286.329.957;-1.060.691.004;115.0;$63,238.77
house;Yucatán;20.992.149.142;-895.655.331.016;121.0;$65,873.72
house;San Luis Potosí;22.141.575;-100.900.192;108.0;$50,591.01
house;Distrito Federal;19.499.857;-99.097.517;300.0;$126,447.56
apartment;Distrito Federal;19.381.729;-99.164.986;80.0;$142,253.50
house;Morelos;18.942.068;-99.242.531;290.0;$242,415.29
house;Puebla;19.087.196;-98.288.637;148.0;$72,707.34
house;Veracruz de Ignacio de la Llave;191.616.453;-96.154.687;290.0;$147,557.13
house;Puebla;18.989.595;-98.203.529;200.0;$150,192.08
house;Morelos;18.917.542;-98.963.181;220.0;$110,641.61
apartment;San Luis Potosí;;;167.0;$166,001.78
house;Yucatán;209.993.534;-895.910.162;192.0;$86,953.31
house;Estado de México;;;207.0;$152,827.03
house;Baja California Sur;241.499.447.277;-1.103.169.306.368;176.0;$131,747.44
apartment;Querétaro;;;104.0;$108,454.49
apartment;Distrito Federal;19.384.533;-99.183.172;120.0;$189,716.32
house;Distrito Federal;19.317.922;-99.236.124;350.0;$176,499.72
house;Estado de México;19.696.592;-99.231.445;87.0;$152,000.50
apartment;Distrito Federal;193.825.040.623;-991.580.399.126;78.0;$137,017.34
apartment;Distrito Federal;19.401.819;-99.184.615;75.0;$78,502.86
house;Puebla;18.998.509;-98.179.484;200.0;$102,738.64
apartment;San Luis Potosí;221.418;-101.027.344;114.0;$88,270.78
house;Yucatán;21.072.905;-8.965.963;266.0;$111,721.83
house;Nuevo León;256.318.511;-100.170.963;204.0;$51,644.99
house;Estado de México;19.283.869;-99.588.992;70.0;$57,006.77
house;Jalisco;20.532.827;-103.483.829;155.0;$110,641.61
house;Morelos;18.918.608;-98.941.094;247.0;$142,287.24
apartment;Jalisco;20.649.012;-103.448.288;88.0;$82,875.83
house;Yucatán;21.030.668;-89.599.258;175.0;$120,944.15
house;Zacatecas;23.634.501;-102.552.788;170.0;$89,567.02
apartment;Distrito Federal;19.380.937;-99.179.545;98.0;$197,100.13
apartment;Estado de México;19.559.799;-99.233.795;60.0;$34,599.16
house;Yucatán;21.072.905;-8.965.963;127.0;$47,417.83
house;Distrito Federal;19.367.215;-99.222.138;180.0;$116,173.69
house;Puebla;;;320.0;$255,529.44
house;Puebla;19.044.477;-98.328.011;326.0;$326,733.66
house;Veracruz de Ignacio de la Llave;18.134.026;-94.476.112;210.0;$247,626.47
house;Veracruz de Ignacio de la Llave;25.572.505;-103.425.036;330.0;$121,178.91
house;Chiapas;;;300.0;$94,835.67
house;Estado de México;19.290.517;-99.694.921;157.0;$105,372.96
house;Jalisco;20.788.616;-103.435.217;156.0;$123,813.23
apartment;Nuevo León;256.526.883;-1.004.122.654;101.0;$160,866.42
house;Nuevo León;25.680.067;-100.458.626;336.0;$142,253.50
house;Estado de México;19.305.643;-98.901.535;120.0;$42,159.18
house;Estado de México;19.684.991;-99.225.298;60.0;$37,670.83
house;Yucatán;21.008.295;-89.591.019;282.0;$123,052.11
apartment;Guerrero;168.572.859;-999.089.643;130.0;$104,870.96
house;San Luis Potosí;22.093.321;-100.895.958;110.0;$46,840.27
house;Puebla;23.634.501;-102.552.788;156.0;$94,835.67
house;San Luis Potosí;221.387.477;-1.010.181.525;200.0;$97,469.99
house;Estado de México;19.428.043;-99.227.384;309.0;$306,529.96
house;Hidalgo;20.059.217;-98.790.423;200.0;$136,984.85
house;Yucatán;21.292.982;-89.603.973;100.0;$139,652.29
house;Morelos;18.903.454;-99.056.687;145.0;$89,567.02
house;Distrito Federal;19.411.699;-99.166.247;120.0;$230,874.80
house;Morelos;188.917.916.491;-992.227.220.535;183.0;$147,557.13
house;Yucatán;210.424.858;-895.568.382;107.0;$50,579.02
apartment;Querétaro;20.711.874;-100.448.934;140.0;$102,211.77
apartment;Distrito Federal;19.428.152;-99.106.194;67.0;$79,029.72
house;Estado de México;19.234.822;-99.559.659;115.0;$105,372.96
house;Estado de México;19.558.449;-9.922.973;180.0;$67,965.56
house;Chihuahua;28.652.079;-106.109.581;227.0;$110,641.61
house;Hidalgo;;;175.0;$80,629.43
house;Nuevo León;25.707.024;-10.021.376;250.0;$110,667.85
house;Aguascalientes;21.878.481;-102.332.787;215.0;$136,490.35
house;Veracruz de Ignacio de la Llave;19.155.567;-9.613.928;165.0;$60,589.45
house;Hidalgo;200.568.798.423;-987.653.755.526;200.0;$68,508.67
house;Nuevo León;25.634.661;-100.295.769;242.0;$76,413.51
apartment;Distrito Federal;19.367.931;-99.170.262;120.0;$120,652.04
house;Distrito Federal;19.360.526;-99.301.674;220.0;$87,703.06
house;Distrito Federal;19.464.398;-99.113.317;304.0;$259,470.39
house;Puebla;1.901.195;-98.219.383;385.0;$237,089.17
house;Yucatán;;;110.0;$47,154.40
apartment;Yucatán;212.929.822;-896.039.725;255.0;$236,144.12
house;Distrito Federal;19.351.396;-99.130.999;225.0;$237,089.17
house;Morelos;1.893.409;-99.254.997;218.0;$143,530.93
house;Querétaro;206.990.975;-1.004.705.682;276.0;$131,747.44
house;Yucatán;21.030.668;-89.599.258;100.0;$79,029.72
house;Sinaloa;;;137.0;$76,202.72
house;Yucatán;20.996.355;-89.583.946;201.0;$92,223.21
house;Puebla;18.983.141;-98.265.739;135.0;$42,149.18
house;Estado de México;192.826.098;-996.556.653;90.0;$56,387.90
house;San Luis Potosí;;;164.0;$89,324.76
house;Tamaulipas;224.107.891;-979.342.897;176.0;$60,603.82
house;Tabasco;18.263.374;-93.179.222;104.0;$39,514.86
house;Distrito Federal;19.396.669;-99.067.626;220.0;$110,050.31
house;Yucatán;21.039.522;-89.563.911;174.0;$65,858.10
house;Estado de México;19.545.097;-9.921.289;233.0;$171,306.94
apartment;Puebla;19.054.064;-98.245.911;95.0;$84,318.36
house;Estado de México;1.962.378;-99.199.085;153.0;$108,007.29
house;Sinaloa;23.240.411;-106.432.565;189.0;$63,118.40
apartment;Distrito Federal;19.452.331;-99.177.162;90.0;$73,234.21
house;Quintana Roo;21.129.547;-86.817.017;275.0;$173,865.39
house;Morelos;;;170.0;$57,955.13
apartment;Distrito Federal;19.342.083;-990.532.159;86.0;$90,115.25
house;Nuevo León;25.702.822;-100.304.192;148.0;$94,594.66
apartment;Morelos;;;89.0;$57,955.13
house;Veracruz de Ignacio de la Llave;19.563.358;-96.939.697;110.0;$39,524.23
house;Veracruz de Ignacio de la Llave;19.205.341;-96.197.784;130.0;$84,298.37
house;Yucatán;210.424.858;-895.568.382;185.0;$76,677.01
apartment;Guerrero;16.829.584;-999.083;154.0;$114,487.72
house;Querétaro;20.726.007;-100.442.642;273.0;$181,811.47
house;San Luis Potosí;23.634.501;-102.552.788;187.0;$94,308.80
house;Distrito Federal;19.395.069;-99.204.927;110.0;$84,825.23
apartment;Distrito Federal;19.400.004;-9.916.735;94.0;$217,911.29
house;Tabasco;17.979.631;-92.965.249;100.0;$65,858.10
house;Querétaro;205.887.932;-1.003.898.881;84.0;$49,537.03
house;Yucatán;21.006.756;-89.570.984;162.0;$76,413.51
house;Yucatán;21.013.465;-89.591.041;239.0;$283,558.65
house;Chiapas;19.671.066;-101.213.341;175.0;$92,201.34
house;Veracruz de Ignacio de la Llave;181.495.073;-944.422;200.0;$158,096.93
house;Nuevo León;257.418.083;-1.004.057.781;211.0;$124,501.99
house;Yucatán;20.968.147;-89.629.875;123.0;$41,095.45
house;Tamaulipas;222.621.259;-978.238.578;141.0;$78,502.86
house;Veracruz de Ignacio de la Llave;;;100.0;$79,029.72
house;Jalisco;20.767.952;-10.340.899;148.0;$96,363.57
house;Veracruz de Ignacio de la Llave;;;165.0;$68,508.67
house;Morelos;18.795.519;-99.231.445;150.0;$67,438.69
apartment;Distrito Federal;19.449.392;-99.138.544;70.0;$42,676.05
apartment;Quintana Roo;211.564.082.129;-868.488.141.149;95.0;$68,508.67
house;Tamaulipas;223.160.889;-978.884.841;165.0;$76,940.50
apartment;Distrito Federal;19.486.255;-99.214.043;65.0;$46,890.97
apartment;Veracruz de Ignacio de la Llave;;;250.0;$94,835.67
apartment;Distrito Federal;1.936.594;-99.163.153;85.0;$106,848.18
house;Veracruz de Ignacio de la Llave;19.146.434;-96.161.783;91.0;$42,149.18
house;Chihuahua;;;187.0;$73,778.56
apartment;Distrito Federal;;;81.0;$161,826.53
apartment;Guerrero;;;155.0;$123,842.59
house;Querétaro;;;270.0;$163,366.83
house;Yucatán;21.035.221;-89.635.757;204.0;$93,781.94
house;Guerrero;168.643.286.803;-998.879.082.142;170.0;$115,937.75
house;Querétaro;20.726.007;-100.442.642;180.0;$109,324.45
house;Sinaloa;23.261.934;-106.408.936;124.0;$67,702.13
house;Quintana Roo;21.139.086;-8.684.964;66.0;$36,880.53
house;Veracruz de Ignacio de la Llave;25.535.524;-103.379.302;276.0;$63,223.78
house;Puebla;;;262.0;$173,865.39
house;Yucatán;210.043.658;-895.614.233;79.0;$36,889.28
apartment;Distrito Federal;19.364.613;-99.161.892;70.0;$93,255.07
apartment;Distrito Federal;19.366.505;-99.222.297;72.0;$64,281.19
house;Veracruz de Ignacio de la Llave;;;146.0;$46,902.09
house;Querétaro;206.521.079;-1.003.491.545;250.0;$144,922.18
house;Yucatán;210.350.497.573;-895.990.741.253;137.0;$78,995.76
apartment;Distrito Federal;19.354.947;-99.087.529;65.0;$37,386.32
house;Yucatán;21.008.295;-89.591.019;142.0;$91,169.23
house;Querétaro;206.476.044;-10.035.253;150.0;$104,319.23
house;Yucatán;21.030.668;-89.599.258;305.0;$184,182.92
house;Distrito Federal;19.371.317;-99.140.957;300.0;$123,981.30
apartment;Veracruz de Ignacio de la Llave;191.356.101;-961.142.685;105.0;$50,064.02
apartment;Distrito Federal;19.377.169;-99.187.643;90.0;$56,514.99
apartment;Distrito Federal;19.381.591;-99.165.397;124.0;$270,872.74
apartment;Morelos;;;210.0;$221,283.23
house;San Luis Potosí;;;181.0;$146,731.85
house;Yucatán;21.039.522;-89.563.911;230.0;$92,223.21
house;Jalisco;20.755.833;-103.413.251;180.0;$144,887.83
house;Querétaro;;;121.0;$84,237.78
house;Veracruz de Ignacio de la Llave;;;108.0;$41,358.88
house;Estado de México;1.927.223;-99.575.691;300.0;$184,446.42
apartment;Veracruz de Ignacio de la Llave;19.191.416;-96.127.518;70.0;$62,448.28
house;San Luis Potosí;22.121.187;-100.951.736;154.0;$57,968.87
house;Tabasco;17.987.557;-92.929.147;150.0;$71,126.75
house;Morelos;;;367.0;$189,671.34
house;Puebla;;;120.0;$78,091.53
house;Estado de México;194.653.884;-995.940.417;70.0;$39,524.23
house;Morelos;188.493.694;-989.479.805;250.0;$84,298.37
house;Yucatán;210.529.434.814;-896.679.210.663;141.0;$62,975.27
house;Morelos;18.942.068;-99.242.531;320.0;$289,844.37
house;Guerrero;16.808.875;-99.821.739;104.0;$102,738.64
apartment;Estado de México;19.531.773;-99.245.873;174.0;$326,656.19
house;Tamaulipas;25.860.595;-97.504.808;212.0;$71,126.75
house;Guanajuato;211.666.103;-1.016.315.416;210.0;$131,716.20
house;Morelos;18.882.006;-99.148.384;240.0;$100,104.31
apartment;Puebla;19.002.178;-98.271.063;87.0;$173,986.78
house;Estado de México;19.425.918;-99.230.123;300.0;$215,222.62
house;Colima;;;103.0;$66,384.96
house;Morelos;188.736.789;-991.922.665;257.0;$188,398.84
house;San Luis Potosí;22.186.096;-101.005.652;240.0;$144,887.83
house;Morelos;;;360.0;$237,145.40
house;Yucatán;21.075.163;-89.516.731;189.0;$86,932.69
house;Chihuahua;;;246.0;$68,492.42
house;Puebla;18.984.862;-98.222.234;289.0;$226,551.88
apartment;Distrito Federal;193.650.311;-991.477.363;83.0;$139,652.29
apartment;Morelos;18.917.393;-99.221.062;127.0;$57,955.13
house;Distrito Federal;19.399.375;-99.149.986;95.0;$246,994.23
house;Baja California;325.622.552;-1.153.169.575;75.0;$42,149.18
apartment;Distrito Federal;19.452.689;-99.117.987;60.0;$36,269.27
house;Distrito Federal;19.336.104;-99.101.761;70.0;$50,087.30
house;Zacatecas;23.634.501;-102.552.788;138.0;$63,223.78
house;Veracruz de Ignacio de la Llave;;;140.0;$55,320.80
house;Jalisco;20.567.506;-10.348.332;149.0;$110,588.92
house;Nayarit;20.722.561;-105.270.132;84.0;$39,514.86
house;Morelos;;;360.0;$136,984.85
apartment;Distrito Federal;193.987.957;-991.594.498;110.0;$274,034.68
house;San Luis Potosí;221.176.282.971;-101.015.124.321;380.0;$266,066.74
house;Yucatán;21.006.756;-89.570.984;90.0;$39,462.17
house;Veracruz de Ignacio de la Llave;25.510.739;-103.357.425;140.0;$39,514.86
house;Tamaulipas;222.695.545;-978.750.355;140.0;$71,301.71
house;Yucatán;;;154.0;$89,324.76
house;Estado de México;193.308.425;-995.817.205;140.0;$121,207.64
house;Estado de México;192.398.293;-99.617.673;332.0;$242,415.29
house;Estado de México;194.689.569;-992.727.792;372.0;$144,887.83
house;Morelos;18.917.542;-98.963.181;200.0;$131,747.44
house;Estado de México;;;230.0;$78,502.86
apartment;Nuevo León;;;132.0;$259,350.11
house;Tabasco;179.728.054.562;-929.515.487.516;134.0;$104,343.97
house;Nuevo León;2.579.255;-100.274.638;159.0;$74,972.86
apartment;Distrito Federal;193.928.136;-991.738.213;112.0;$312,957.71
house;Sinaloa;24.804.811;-10.746.476;95.0;$47,417.83
house;Aguascalientes;21.905.983;-102.286.817;157.0;$41,622.32
house;Morelos;18.900.945;-99.232.574;279.0;$142,253.50
house;Tamaulipas;222.900.902;-978.437.788;75.0;$34,254.33
apartment;Distrito Federal;19.375.374;-99.137.657;80.0;$34,077.61
house;Nuevo León;25.660.711;-100.289.459;222.0;$118,544.58
house;Guanajuato;;;216.0;$94,858.16
apartment;Puebla;190.206.582.554;-982.238.459.587;100.0;$103,606.19
house;Yucatán;209.608.384.839;-896.215.687.395;160.0;$52,159.61
apartment;Distrito Federal;19.409.369;-99.171.906;83.0;$263,494.89
house;Estado de México;;;110.0;$141,726.64
house;Nuevo León;257.584.835;-1.004.052.434;131.0;$92,023.21
house;Nuevo León;25.712.547;-100.249.496;210.0;$83,000.89
house;Yucatán;210.511.962.595;-895.385.822.654;168.0;$80,112.98
house;Puebla;;;260.0;$200,256.11
house;Puebla;190.927.640.219;-982.267.805.468;100.0;$51,644.99
house;Chiapas;;;212.0;$252,895.12
house;Jalisco;20.792.152;-103.475.021;104.0;$39,514.86
house;Guanajuato;21.121.012;-101.600.136;207.0;$121,207.64
house;Morelos;;;302.0;$197,621.16
house;San Luis Potosí;221.830.772.497;-1.010.302.325.338;92.0;$34,781.32
apartment;Distrito Federal;19.404.032;-99.179.694;103.0;$209,902.95
house;Chiapas;;;168.0;$84,298.37
house;Morelos;18.814.863;-99.211.439;97.0;$68,492.42
apartment;Distrito Federal;19.368.544;-99.163.605;105.0;$284,507.01
house;Puebla;190.550.344;-982.731.403;330.0;$189,716.32
house;Yucatán;210.430.781.672;-89.551.603.049;190.0;$89,061.27
house;Estado de México;19.699.144;-98.978.363;180.0;$68,492.42
apartment;Distrito Federal;19.341.894;-99.224.525;96.0;$156,958.30
house;Querétaro;20.596.285;-100.357.695;300.0;$144,887.83
apartment;Guerrero;;;141.0;$100,128.05
apartment;Puebla;19.035.632;-98.223.132;92.0;$109,587.88
house;Puebla;190.217.424;-982.604.216;215.0;$155,461.98
house;Chiapas;19.987.465;-102.284.888;330.0;$210,745.93
apartment;Morelos;18.957.352;-99.260.544;76.0;$52,698.97
house;Morelos;18.845.494;-9.920.547;136.0;$71,765.83
apartment;Distrito Federal;19.366.901;-99.297.272;65.0;$109,387.67
house;San Luis Potosí;221.840.801.528;-1.010.286.072.441;110.0;$39,830.98
house;Estado de México;19.615.452;-99.206.348;70.0;$47,681.26
house;Estado de México;19.590.134;-99.280.419;100.0;$44,783.51
house;Distrito Federal;19.473.907;-99.177.444;320.0;$91,042.24
house;San Luis Potosí;22.149.093;-100.889.863;180.0;$45,321.12
house;Estado de México;;;326.0;$200,203.41
house;Estado de México;19.641.889;-991.774.462;250.0;$79,048.46
house;Veracruz de Ignacio de la Llave;19.089.373;-96.130.805;168.0;$94,835.67
house;Querétaro;20.606.224;-100.329.168;165.0;$97,469.99
house;Yucatán;21.001.256;-89.600.723;325.0;$183,296.27
house;Morelos;;;180.0;$69,562.65
apartment;Morelos;;;205.0;$131,747.44
apartment;Nuevo León;257.302.897;-1.003.965.403;160.0;$104,497.22
house;Morelos;;;225.0;$42,043.81
house;Puebla;19.004.742;-98.235.992;180.0;$63,223.78
house;Morelos;18.920.158;-99.180.214;85.0;$48,734.99
house;Morelos;18.916.586;-99.214.371;272.0;$262,967.90
house;Puebla;19.063.091;-98.296.013;252.0;$130,873.22
apartment;Distrito Federal;19.371.321;-99.140.985;84.0;$93,465.82
apartment;Puebla;190.378.006;-983.007.086;120.0;$166,001.78
apartment;Distrito Federal;19.362.824;-99.266.178;162.0;$210,745.93
house;Chiapas;16.780.325;-93.119.637;180.0;$105,372.96
house;Yucatán;21.039.522;-89.563.911;178.0;$60,076.83
apartment;Distrito Federal;19.465.454;-99.162.665;69.0;$75,375.18
house;Jalisco;20.700.756;-103.333.385;300.0;$94,308.80
house;Baja California Sur;22.886.851;-109.946.872;94.0;$50,485.62
house;Querétaro;20.549.404;-100.378.563;110.0;$76,395.40
house;Distrito Federal;19.353.288;-99.244.721;150.0;$136,405.30
house;Estado de México;19.278.994;-99.559.006;136.0;$89,567.02
house;Puebla;18.985.191;-98.186.447;148.0;$105,372.96
apartment;Jalisco;2.067.603;-103.425.418;125.0;$157,479.90
house;Guanajuato;;;330.0;$280,818.95
house;Veracruz de Ignacio de la Llave;;;240.0;$89,588.26
apartment;Guerrero;168.763.009.074;-998.829.327.151;88.0;$39,260.73
house;Nayarit;21.525.436;-104.923.553;115.0;$47,429.08
apartment;Chiapas;16.748.743;-93.066.491;73.0;$43,202.91
apartment;Distrito Federal;19.432.657;-99.177.444;150.0;$135,085.08
house;Querétaro;20.618.279;-100.346.985;160.0;$99,601.06
house;Estado de México;1.972.876;-99.461.708;236.0;$237,145.40
house;Veracruz de Ignacio de la Llave;2.551.506;-103.413.092;230.0;$44,783.51
house;Chiapas;;;72.0;$39,514.86
house;Querétaro;20.419.854;-99.998.039;89.0;$40,568.59
house;Morelos;18.804.197;-98.932.816;117.0;$65,858.10
apartment;San Luis Potosí;22.133.104;-100.982.117;100.0;$53,740.21
apartment;Distrito Federal;19.400.249;-99.177.444;150.0;$273,969.71
house;Distrito Federal;;;60.0;$63,223.78
house;Yucatán;2.103.071;-89.618.103;382.0;$223,970.65
house;Jalisco;20.649.154;-105.202.538;90.0;$33,719.34
house;Baja California;32.426.032;-117.033.916;140.0;$62,570.46
house;Tamaulipas;26.058.614;-98.322.969;252.0;$66,933.76
house;Veracruz de Ignacio de la Llave;25.599.048;-103.412.397;189.0;$64,277.51
house;Baja California Sur;24.129.181;-11.031.971;110.0;$68,492.42
house;Tamaulipas;22.238.298;-97.841.892;200.0;$110,641.61
house;Puebla;19.046.561;-98.190.349;110.0;$100,735.92
apartment;Distrito Federal;19.451.872;-99.173.522;70.0;$66,911.83
house;Estado de México;19.253.367;-99.606.303;260.0;$324,021.87
house;Sonora;290.287.123;-11.097.103;200.0;$47,417.83
apartment;Distrito Federal;194.556.947.061;-991.635.761.259;76.0;$121,355.20
house;Jalisco;207.670.434;-1.033.941.011;195.0;$135,931.12
apartment;Distrito Federal;19.336.195;-9.923.692;100.0;$74,920.17
apartment;Puebla;;;212.0;$282,821.04
house;San Luis Potosí;221.564.699;-1.009.855.409;110.0;$39,524.23
apartment;Morelos;;;124.0;$152,790.80
house;Yucatán;210.634.817;-896.110.378;296.0;$137,017.34
house;Yucatán;21.135.925;-896.446.768;200.0;$79,029.72
house;Querétaro;20.547.818;-100.407.691;80.0;$51,632.75
house;Morelos;18.954.132;-99.266.083;210.0;$86,932.69
house;Quintana Roo;21.152.508;-86.850.891;180.0;$89,040.15
house;Morelos;18.882.725;-99.163.605;112.0;$86,953.31
house;Tabasco;1.797.423;-92.923.836;60.0;$34,246.21
house;Chiapas;16.740.764;-93.089.951;148.0;$84,298.37
house;Nuevo León;25.764.894;-100.264.221;160.0;$65,858.10
apartment;Querétaro;2.060.782;-100.366.721;110.0;$131,716.20
house;Distrito Federal;19.469.688;-99.085.456;248.0;$176,541.57
apartment;Distrito Federal;192.711.236.877;-992.088.389.397;72.0;$40,645.77
apartment;Jalisco;20.723.133;-103.418.115;84.0;$178,080.31
apartment;Distrito Federal;;;72.0;$84,318.36
house;Chiapas;1.676.764;-93.178.283;250.0;$173,865.39
house;Yucatán;209.673.702;-895.925.857;290.0;$123,315.60
house;Yucatán;21.017.197;-89.574.516;158.0;$102,763.00
house;Morelos;18.862.602;-99.213.448;320.0;$173,906.62
house;Veracruz de Ignacio de la Llave;19.123.617;-96.113.161;220.0;$99,577.45
house;Distrito Federal;19.355.938;-99.129.918;200.0;$315,618.38
house;Baja California Sur;1.935.913;-98.983.431;189.0;$62,696.91
house;Yucatán;20.989.016;-89.632.225;300.0;$131,747.44
house;Yucatán;;;220.0;$112,617.71
house;Quintana Roo;;;81.0;$45,321.12
